,year,month,region,count
631,2009,8,QUEENS,2
632,2009,8,MANHATTAN,0
633,2009,8,BROOKLYN,3
634,2009,8,STATEN ISLAND,0
635,2009,7,BRONX,3
636,2009,7,QUEENS,2
637,2009,7,MANHATTAN,1
638,2009,7,BROOKLYN,5
639,2009,7,STATEN ISLAND,0
640,2009,5,BRONX,1
641,2009,5,QUEENS,2
642,2009,5,MANHATTAN,0
643,2009,5,BROOKLYN,1
644,2009,5,STATEN ISLAND,0
645,2009,3,BRONX,3
646,2009,3,QUEENS,1
647,2009,3,MANHATTAN,3
648,2009,3,BROOKLYN,4
649,2009,3,STATEN ISLAND,0
650,2009,1,BRONX,10
651,2009,1,QUEENS,15
652,2009,1,MANHATTAN,4
653,2009,1,BROOKLYN,19
654,2009,1,STATEN ISLAND,2
655,2009,2,BRONX,0
656,2009,2,QUEENS,2
657,2009,2,MANHATTAN,1
658,2009,2,BROOKLYN,2
659,2009,2,STATEN ISLAND,0
660,2010,12,BRONX,1
661,2010,12,QUEENS,4
662,2010,12,MANHATTAN,2
663,2010,12,BROOKLYN,1
664,2010,12,STATEN ISLAND,4
665,2010,4,BRONX,1
666,2010,4,QUEENS,1
667,2010,4,MANHATTAN,2
668,2010,4,BROOKLYN,3
669,2010,4,STATEN ISLAND,1
670,2010,6,BRONX,1
671,2010,6,QUEENS,5
672,2010,6,MANHATTAN,3
673,2010,6,BROOKLYN,4
674,2010,6,STATEN ISLAND,1
675,2010,11,BRONX,2
676,2010,11,QUEENS,0
677,2010,11,MANHATTAN,2
678,2010,11,BROOKLYN,0
679,2010,11,STATEN ISLAND,0
680,2010,10,BRONX,0
681,2010,10,QUEENS,4
682,2010,10,MANHATTAN,2
683,2010,10,BROOKLYN,1
684,2010,10,STATEN ISLAND,2
685,2010,9,BRONX,3
686,2010,9,QUEENS,1
687,2010,9,MANHATTAN,2
688,2010,9,BROOKLYN,0
689,2010,9,STATEN ISLAND,0
690,2010,8,BRONX,0
691,2010,8,QUEENS,4
692,2010,8,MANHATTAN,1
693,2010,8,BROOKLYN,5
694,2010,8,STATEN ISLAND,0
695,2010,7,BRONX,2
696,2010,7,QUEENS,3
697,2010,7,MANHATTAN,1
698,2010,7,BROOKLYN,4
699,2010,7,STATEN ISLAND,0
700,2010,5,BRONX,1
701,2010,5,QUEENS,2
702,2010,5,MANHATTAN,1
703,2010,5,BROOKLYN,4
704,2010,5,STATEN ISLAND,0
705,2010,3,BRONX,1
706,2010,3,QUEENS,1
707,2010,3,MANHATTAN,2
708,2010,3,BROOKLYN,2
709,2010,3,STATEN ISLAND,0
710,2010,1,BRONX,11
711,2010,1,QUEENS,13
712,2010,1,MANHATTAN,6
713,2010,1,BROOKLYN,7
714,2010,1,STATEN ISLAND,0
715,2010,2,BRONX,2
716,2010,2,QUEENS,1
717,2010,2,MANHATTAN,4
718,2010,2,BROOKLYN,3
719,2010,2,STATEN ISLAND,1
720,2008,12,BRONX,1
721,2008,12,QUEENS,2
722,2008,12,MANHATTAN,1
723,2008,12,BROOKLYN,2
724,2008,12,STATEN ISLAND,0
725,2008,4,BRONX,0
726,2008,4,QUEENS,1
727,2008,4,MANHATTAN,1
728,2008,4,BROOKLYN,1
729,2008,4,STATEN ISLAND,0
730,2008,6,BRONX,3
731,2008,6,QUEENS,6
732,2008,6,MANHATTAN,0
733,2008,6,BROOKLYN,2
734,2008,6,STATEN ISLAND,0
735,2008,11,BRONX,0
736,2008,11,QUEENS,0
