New York State and Labor Market Regions and Metropolitan Areas
Counties and Municipalities of at Least 25000 Population
Data Source: Local Area Unemployment Statistics Program
New York County 
(Data are not seasonally adjusted. Data are preliminary and subject to revision.) 
UNEMPLOYMENT RATE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2008,45200,43800,40300,36300,39800,41500,45300,47100,48200,50700,52700,58000,45700,
2007,42800,40200,35700,35500,37500,40700,45100,40100,40000,40700,38600,41100,39800,
2006,43800,45400,41200,40200,38400,39000,42300,38300,36400,35000,35700,34400,39200,
2005,49100,49900,43600,42700,42300,43100,45900,42700,48500,47300,48700,43700,45600,
2004,64900,61500,62300,54200,53500,57100,55700,51500,50300,50800,48300,46800,54700,
2003,72900,70400,65700,62500,61900,67700,65500,63900,65000,64000,63800,59200,65200,
2002,68900,68300,68300,65600,62700,64700,65800,62600,63000,67400,69500,69100,66300,
2001,43600,43800,42600,38700,39300,43000,46000,50700,53300,59400,61700,63600,48800,
2000,47500,46800,46600,41100,42000,41200,43500,43300,41200,42700,42100,39400,43100,

1999,56700,56400,50300,48800,48000,52700,54000,49200,50900,49600,46000,42500,50400,
1998,64200,63900,61100,49600,55000,57500,57000,54200,56000,58200,55900,53800,57200,
1997,70800,68400,68900,65000,64800,68700,67800,65200,66000,63600,59900,59400,65700,
1996,57200,57200,58900,53200,59000,58400,63000,58000,59900,61400,63900,65600,59600,
1995,55000,52100,52200,53100,52600,54900,57400,56200,55800,54700,52600,53400,54200,
1994,73400,68700,64300,60000,56400,57300,60100,57700,54800,55200,51600,47500,58900,
1993,83900,81000,70800,62400,63400,66200,68700,67100,63700,70100,69100,69300,69600,
1992,72400,73300,68300,63400,67700,74400,76600,73900,74200,72700,74300,77300,72400,
1991,57400,57300,56200,53200,57500,58400,58400,58100,56900,59800,63100,64900,58400,
1990,51400,48700,43600,39900,42200,40700,45700,44900,48700,50700,51100,51600,46600,
