Unnamed: 0,Month,Unemp_rate,year,rate,model,borough
30,7,4.6,2019,12384.0,clfpoly2,BROOKLYN
31,8,4.5,2019,12270.0,clfpoly2,BROOKLYN
32,9,4.07,2019,11836.0,clfpoly2,BROOKLYN
33,10,4.02,2019,11384.0,clfpoly2,BROOKLYN
34,11,3.97,2019,10759.0,clfpoly2,BROOKLYN
35,12,3.91,2019,9957.0,clfpoly2,BROOKLYN
36,1,4.31,2020,8753.0,clfpoly2,BROOKLYN
37,2,4.26,2020,9675.0,clfpoly2,BROOKLYN
38,3,4.2,2020,10425.0,clfpoly2,BROOKLYN
39,4,4.15,2020,11001.0,clfpoly2,BROOKLYN
40,5,4.1,2020,11405.0,clfpoly2,BROOKLYN
41,6,4.04,2020,11635.0,clfpoly2,BROOKLYN
42,7,3.99,2020,11694.0,clfpoly2,BROOKLYN
43,8,3.93,2020,11577.0,clfpoly2,BROOKLYN
44,9,3.88,2020,11290.0,clfpoly2,BROOKLYN
45,10,3.82,2020,10827.0,clfpoly2,BROOKLYN
46,11,3.77,2020,10194.0,clfpoly2,BROOKLYN
47,12,3.71,2020,9384.0,clfpoly2,BROOKLYN
48,1,4.12,2021,8284.0,clfpoly2,BROOKLYN
49,2,4.06,2021,9200.0,clfpoly2,BROOKLYN
50,3,4.01,2021,9941.0,clfpoly2,BROOKLYN
51,4,3.95,2021,10510.0,clfpoly2,BROOKLYN
52,5,3.9,2021,10906.0,clfpoly2,BROOKLYN
53,6,3.84,2021,11129.0,clfpoly2,BROOKLYN
54,7,3.79,2021,11179.0,clfpoly2,BROOKLYN
55,8,3.73,2021,11055.0,clfpoly2,BROOKLYN
56,9,3.68,2021,10759.0,clfpoly2,BROOKLYN
57,10,3.63,2021,10291.0,clfpoly2,BROOKLYN
58,11,3.57,2021,9647.0,clfpoly2,BROOKLYN
59,12,3.52,2021,8833.0,clfpoly2,BROOKLYN
60,1,3.92,2022,7835.0,clfpoly2,BROOKLYN
61,2,3.86,2022,8744.0,clfpoly2,BROOKLYN
62,3,3.81,2022,9477.0,clfpoly2,BROOKLYN
63,4,3.76,2022,10037.0,clfpoly2,BROOKLYN
64,5,3.7,2022,10426.0,clfpoly2,BROOKLYN
65,6,3.65,2022,10641.0,clfpoly2,BROOKLYN
66,7,3.59,2022,10683.0,clfpoly2,BROOKLYN
67,8,3.54,2022,10552.0,clfpoly2,BROOKLYN
68,9,3.48,2022,10248.0,clfpoly2,BROOKLYN
69,10,3.43,2022,9771.0,clfpoly2,BROOKLYN
70,11,3.37,2022,9120.0,clfpoly2,BROOKLYN
71,12,3.32,2022,8298.0,clfpoly2,BROOKLYN
0,1,5.1,2017,11629.0,clfpoly3,BROOKLYN
1,2,5.1,2017,10390.0,clfpoly3,BROOKLYN
2,3,4.5,2017,12223.0,clfpoly3,BROOKLYN
3,4,4.3,2017,12148.0,clfpoly3,BROOKLYN
4,5,4.5,2017,13407.0,clfpoly3,BROOKLYN
5,6,4.7,2017,12739.0,clfpoly3,BROOKLYN
6,7,5.3,2017,13944.0,clfpoly3,BROOKLYN
7,8,5.3,2017,13657.0,clfpoly3,BROOKLYN
8,9,4.7,2017,12877.0,clfpoly3,BROOKLYN
9,10,4.5,2017,13529.0,clfpoly3,BROOKLYN
10,11,4.2,2017,11227.0,clfpoly3,BROOKLYN
11,12,4.1,2017,10683.0,clfpoly3,BROOKLYN
12,1,4.7,2018,10501.0,clfpoly3,BROOKLYN
13,2,4.7,2018,8922.0,clfpoly3,BROOKLYN
14,3,4.4,2018,11223.0,clfpoly3,BROOKLYN
15,4,4.0,2018,11742.0,clfpoly3,BROOKLYN
16,5,3.7,2018,12882.0,clfpoly3,BROOKLYN
17,6,4.3,2018,12518.0,clfpoly3,BROOKLYN
18,7,4.5,2018,13175.0,clfpoly3,BROOKLYN
19,8,4.5,2018,13440.0,clfpoly3,BROOKLYN
20,9,4.0,2018,12220.0,clfpoly3,BROOKLYN
21,10,4.1,2018,11843.0,clfpoly3,BROOKLYN
22,11,3.8,2018,11245.0,clfpoly3,BROOKLYN
23,12,4.1,2018,10641.0,clfpoly3,BROOKLYN
24,1,5.0,2019,7531.0,clfpoly3,BROOKLYN
25,2,4.7,2019,8447.0,clfpoly3,BROOKLYN
26,3,4.3,2019,9726.0,clfpoly3,BROOKLYN
27,4,3.8,2019,11234.0,clfpoly3,BROOKLYN
28,5,4.3,2019,10799.0,clfpoly3,BROOKLYN
29,6,4.4,2019,11405.0,clfpoly3,BROOKLYN
30,7,4.6,2019,12111.0,clfpoly3,BROOKLYN
31,8,4.5,2019,12643.0,clfpoly3,BROOKLYN
32,9,4.07,2019,12499.0,clfpoly3,BROOKLYN
33,10,4.02,2019,12289.0,clfpoly3,BROOKLYN
34,11,3.97,2019,11674.0,clfpoly3,BROOKLYN
35,12,3.91,2019,10547.0,clfpoly3,BROOKLYN
36,1,4.31,2020,7591.0,clfpoly3,BROOKLYN
37,2,4.26,2020,7945.0,clfpoly3,BROOKLYN
38,3,4.2,2020,8537.0,clfpoly3,BROOKLYN
39,4,4.15,2020,9236.0,clfpoly3,BROOKLYN
40,5,4.1,2020,9994.0,clfpoly3,BROOKLYN
41,6,4.04,2020,10740.0,clfpoly3,BROOKLYN
42,7,3.99,2020,11379.0,clfpoly3,BROOKLYN
43,8,3.93,2020,11839.0,clfpoly3,BROOKLYN
44,9,3.88,2020,12049.0,clfpoly3,BROOKLYN
45,10,3.82,2020,11913.0,clfpoly3,BROOKLYN
46,11,3.77,2020,11386.0,clfpoly3,BROOKLYN
47,12,3.71,2020,10345.0,clfpoly3,BROOKLYN
48,1,4.12,2021,6524.0,clfpoly3,BROOKLYN
49,2,4.06,2021,6984.0,clfpoly3,BROOKLYN
50,3,4.01,2021,7615.0,clfpoly3,BROOKLYN
51,4,3.95,2021,8406.0,clfpoly3,BROOKLYN
52,5,3.9,2021,9230.0,clfpoly3,BROOKLYN
53,6,3.84,2021,10044.0,clfpoly3,BROOKLYN
54,7,3.79,2021,10751.0,clfpoly3,BROOKLYN
55,8,3.73,2021,11279.0,clfpoly3,BROOKLYN
56,9,3.68,2021,11559.0,clfpoly3,BROOKLYN
57,10,3.63,2021,11513.0,clfpoly3,BROOKLYN
58,11,3.57,2021,11035.0,clfpoly3,BROOKLYN
59,12,3.52,2021,10098.0,clfpoly3,BROOKLYN
60,1,3.92,2022,5609.0,clfpoly3,BROOKLYN
